cluster_id	amp	ch	channel_group	depth	fr	group	n_spikes	sh	si_unit_id
0	3.54900002	1	0	10.00000000	0.32896376	noise	831	0	0
1	5.98650026	1	0	10.00000000	0.32065060	noise	810	0	1
2	1.56000006	1	0	10.00000000	1.45994987	noise	3688	0	2
3	0.68250000	1	0	10.00000000	1.18799066	noise	3001	0	3
4	2.22300005	1	0	10.00000000	0.86377728	noise	2182	0	4
5	0.70200002	1	0	10.00000000	2.28414066	noise	5770	0	5
6	1.81350005	1	0	10.00000000	3.31418121	noise	8372	0	6
7	0.97500002	1	0	10.00000000	2.97175805	noise	7507	0	7
8	1.42350006	1	0	10.00000000	2.27939028	noise	5758	0	8
12	4.81650019	1	0	10.00000000	3.05924420	noise	7728	0	9
14	4.81650019	1	0	10.00000000	4.87032626	noise	12303	0	9
15	4.81650019	1	0	10.00000000	9.85505749	noise	24895	0	9
